,sub_num,condition,age,gender,n_prac,block,planet,true_planet,prt,initial_reward,leave_thresh,decay_list,reward_list,total_reward,rt_list,avg_rt,catch_perf,catch_rt,galaxy,preced_gal,num_in_gal,switch_point,mean,mode,mean_post,mode_post,gal_0_trans_0,gal_0_trans_1,gal_0_trans_2,gal_1_trans_0,gal_1_trans_1,gal_1_trans_2,gal_2_trans_0,gal_2_trans_1,gal_2_trans_2,gal_0_encount,gal_1_encount,gal_2_encount,opt_prt,opt_prt_om,prt_rel_om,switch,period
0,0,1,39,female},1,1,0,0,3,105,15.5,"[0.257142857, 0.148148148, 0.25]","[105.0, 27.0, 4.0]",11551,"[1244.0, 983.0, 1306.0]",1177.6666666666667,2,4389.5,0,100,1,False,3.611111111111111,2,3.909090909090909,2,,,,,,,,,,1,0,0,2,2,1,switch,early
1,0,1,39,female},1,1,1,1,1,103,51.5,[0.194174757],[103.0],11551,[196.0],,2,4389.5,0,100,2,False,3.611111111111111,2,3.909090909090909,2,1.0,0.0,0.0,,,,,,,2,0,0,2,2,-1,no_switch,early
2,0,1,39,female},1,1,2,2,3,100,37.0,"[0.48, 0.541666667, 0.538461538]","[100.0, 48.0, 26.0]",11551,"[1005.0, 536.0, 692.0]",,2,4389.5,1,0,1,True,3.611111111111111,2,3.909090909090909,2,0.5,0.5,0.0,,,,,,,2,1,0,2,3,0,switch,early
3,0,1,39,female},1,1,3,3,2,105,76.5,"[0.457142857, 0.5]","[105.0, 48.0]",11551,"[376.0, 681.0]",528.5,2,4389.5,1,0,2,False,3.611111111111111,2,3.909090909090909,2,0.5,0.5,0.0,0.0,1.0,0.0,,,,2,2,0,2,3,-1,no_switch,early
4,0,1,39,female},1,1,4,4,2,101,77.0,"[0.524752475, 0.528301887]","[101.0, 53.0]",11551,"[1130.0, 1607.0]",1368.5,2,4389.5,1,0,3,False,3.611111111111111,2,3.909090909090909,2,0.5,0.5,0.0,0.0,1.0,0.0,,,,2,3,0,3,3,-1,no_switch,early
8,0,1,39,female},1,1,8,8,3,103,12.0,"[0.194174757, 0.2, 0.25]","[103.0, 20.0, 4.0]",11551,"[663.0, 266.0, 1020.0]",649.6666666666666,2,4389.5,0,2,1,True,3.611111111111111,2,3.909090909090909,2,0.5,0.5,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3,3,3,2,2,1,switch,early
9,0,1,39,female},1,1,9,9,6,103,0.0,"[0.174757282, 0.222222222, 0.25, 0.0, nan, nan]","[103.0, 18.0, 4.0, 1.0, 0.0, 0.0]",11551,"[454.0, 541.0, 623.0, 650.0, 1048.0, 20.0]",556.0,2,4389.5,0,2,2,False,3.611111111111111,2,3.909090909090909,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,4,3,3,2,2,4,no_switch,early
10,0,1,39,female},1,1,10,10,3,102,8.5,"[0.147058824, 0.133333333, 0.0]","[102.0, 15.0, 2.0]",11551,"[497.0, 656.0, 856.0]",669.6666666666666,2,4389.5,0,2,3,False,3.611111111111111,2,3.909090909090909,2,0.75,0.25,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,5,3,3,2,2,1,no_switch,early
11,0,1,39,female},1,1,11,11,1,102,51.0,[0.147058824],[102.0],11551,[1632.0],1632.0,2,4389.5,0,2,4,False,3.611111111111111,2,3.909090909090909,2,0.8,0.2,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,6,3,3,2,2,-1,no_switch,early
12,0,1,39,female},1,2,12,20,2,89,55.5,"[0.247191011, 0.181818182]","[89.0, 22.0]",11551,"[481.0, 1589.0]",,2,4389.5,0,0,5,False,3.611111111111111,2,3.909090909090909,2,0.8333333333333334,0.16666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,7,3,3,2,2,0,no_switch,early
