,sub_num,true_planet,fold_num,dataset,galaxy,prt
0,0,68,1.0,test,2,2
0,0,68,2.0,train,2,2
0,0,68,3.0,train,2,2
0,0,68,4.0,train,2,2
0,0,68,5.0,train,2,2
0,0,68,6.0,train,2,2
0,0,68,7.0,train,2,2
0,0,68,8.0,train,2,2
0,0,68,9.0,train,2,2
0,0,68,10.0,train,2,2
0,0,92,1.0,test,1,1
0,0,92,2.0,train,1,1
0,0,92,3.0,train,1,1
0,0,92,4.0,train,1,1
0,0,92,5.0,train,1,1
0,0,92,6.0,train,1,1
0,0,92,7.0,train,1,1
0,0,92,8.0,train,1,1
0,0,92,9.0,train,1,1
0,0,92,10.0,train,1,1
0,0,66,1.0,test,2,5
0,0,66,2.0,train,2,5
0,0,66,3.0,train,2,5
0,0,66,4.0,train,2,5
0,0,66,5.0,train,2,5
0,0,66,6.0,train,2,5
0,0,66,7.0,train,2,5
0,0,66,8.0,train,2,5
0,0,66,9.0,train,2,5
0,0,66,10.0,train,2,5
0,0,96,1.0,test,2,1
0,0,96,2.0,train,2,1
0,0,96,3.0,train,2,1
0,0,96,4.0,train,2,1
0,0,96,5.0,train,2,1
0,0,96,6.0,train,2,1
0,0,96,7.0,train,2,1
0,0,96,8.0,train,2,1
0,0,96,9.0,train,2,1
0,0,96,10.0,train,2,1
0,0,75,1.0,test,2,1
0,0,75,2.0,train,2,1
0,0,75,3.0,train,2,1
0,0,75,4.0,train,2,1
0,0,75,5.0,train,2,1
0,0,75,6.0,train,2,1
0,0,75,7.0,train,2,1
0,0,75,8.0,train,2,1
0,0,75,9.0,train,2,1
0,0,75,10.0,train,2,1
0,0,28,1.0,test,1,6
0,0,28,2.0,train,1,6
0,0,28,3.0,train,1,6
0,0,28,4.0,train,1,6
0,0,28,5.0,train,1,6
0,0,28,6.0,train,1,6
0,0,28,7.0,train,1,6
0,0,28,8.0,train,1,6
0,0,28,9.0,train,1,6
0,0,28,10.0,train,1,6
0,0,11,1.0,test,0,1
0,0,11,2.0,train,0,1
0,0,11,3.0,train,0,1
0,0,11,4.0,train,0,1
0,0,11,5.0,train,0,1
0,0,11,6.0,train,0,1
0,0,11,7.0,train,0,1
0,0,11,8.0,train,0,1
0,0,11,9.0,train,0,1
0,0,11,10.0,train,0,1
0,0,1,2.0,test,0,1
0,0,1,1.0,train,0,1
0,0,1,3.0,train,0,1
0,0,1,4.0,train,0,1
0,0,1,5.0,train,0,1
0,0,1,6.0,train,0,1
0,0,1,7.0,train,0,1
0,0,1,8.0,train,0,1
0,0,1,9.0,train,0,1
0,0,1,10.0,train,0,1
0,0,60,2.0,test,0,2
0,0,60,1.0,train,0,2
0,0,60,3.0,train,0,2
0,0,60,4.0,train,0,2
0,0,60,5.0,train,0,2
0,0,60,6.0,train,0,2
0,0,60,7.0,train,0,2
0,0,60,8.0,train,0,2
0,0,60,9.0,train,0,2
0,0,60,10.0,train,0,2
0,0,0,2.0,test,0,3
0,0,0,1.0,train,0,3
0,0,0,3.0,train,0,3
0,0,0,4.0,train,0,3
0,0,0,5.0,train,0,3
0,0,0,6.0,train,0,3
0,0,0,7.0,train,0,3
0,0,0,8.0,train,0,3
0,0,0,9.0,train,0,3
0,0,0,10.0,train,0,3
0,0,67,2.0,test,2,4
0,0,67,1.0,train,2,4
0,0,67,3.0,train,2,4
0,0,67,4.0,train,2,4
0,0,67,5.0,train,2,4
0,0,67,6.0,train,2,4
0,0,67,7.0,train,2,4
0,0,67,8.0,train,2,4
0,0,67,9.0,train,2,4
0,0,67,10.0,train,2,4
0,0,21,2.0,test,0,2
0,0,21,1.0,train,0,2
0,0,21,3.0,train,0,2
0,0,21,4.0,train,0,2
0,0,21,5.0,train,0,2
0,0,21,6.0,train,0,2
0,0,21,7.0,train,0,2
0,0,21,8.0,train,0,2
0,0,21,9.0,train,0,2
0,0,21,10.0,train,0,2
0,0,29,2.0,test,2,12
0,0,29,1.0,train,2,12
0,0,29,3.0,train,2,12
0,0,29,4.0,train,2,12
0,0,29,5.0,train,2,12
0,0,29,6.0,train,2,12
0,0,29,7.0,train,2,12
0,0,29,8.0,train,2,12
0,0,29,9.0,train,2,12
0,0,29,10.0,train,2,12
0,0,4,2.0,test,1,2
0,0,4,1.0,train,1,2
0,0,4,3.0,train,1,2
0,0,4,4.0,train,1,2
0,0,4,5.0,train,1,2
0,0,4,6.0,train,1,2
0,0,4,7.0,train,1,2
0,0,4,8.0,train,1,2
0,0,4,9.0,train,1,2
0,0,4,10.0,train,1,2
0,0,6,3.0,test,2,7
0,0,6,1.0,train,2,7
0,0,6,2.0,train,2,7
0,0,6,4.0,train,2,7
0,0,6,5.0,train,2,7
0,0,6,6.0,train,2,7
0,0,6,7.0,train,2,7
0,0,6,8.0,train,2,7
0,0,6,9.0,train,2,7
0,0,6,10.0,train,2,7
0,0,89,3.0,test,1,1
0,0,89,1.0,train,1,1
0,0,89,2.0,train,1,1
0,0,89,4.0,train,1,1
0,0,89,5.0,train,1,1
0,0,89,6.0,train,1,1
0,0,89,7.0,train,1,1
0,0,89,8.0,train,1,1
0,0,89,9.0,train,1,1
0,0,89,10.0,train,1,1
0,0,46,3.0,test,2,3
0,0,46,1.0,train,2,3
0,0,46,2.0,train,2,3
0,0,46,4.0,train,2,3
0,0,46,5.0,train,2,3
0,0,46,6.0,train,2,3
0,0,46,7.0,train,2,3
0,0,46,8.0,train,2,3
0,0,46,9.0,train,2,3
0,0,46,10.0,train,2,3
0,0,65,3.0,test,2,4
0,0,65,1.0,train,2,4
0,0,65,2.0,train,2,4
0,0,65,4.0,train,2,4
0,0,65,5.0,train,2,4
0,0,65,6.0,train,2,4
0,0,65,7.0,train,2,4
0,0,65,8.0,train,2,4
0,0,65,9.0,train,2,4
0,0,65,10.0,train,2,4
0,0,63,3.0,test,2,1
0,0,63,1.0,train,2,1
0,0,63,2.0,train,2,1
0,0,63,4.0,train,2,1
0,0,63,5.0,train,2,1
0,0,63,6.0,train,2,1
0,0,63,7.0,train,2,1
0,0,63,8.0,train,2,1
0,0,63,9.0,train,2,1
0,0,63,10.0,train,2,1
0,0,27,3.0,test,2,8
0,0,27,1.0,train,2,8
0,0,27,2.0,train,2,8
0,0,27,4.0,train,2,8
0,0,27,5.0,train,2,8
0,0,27,6.0,train,2,8
0,0,27,7.0,train,2,8
0,0,27,8.0,train,2,8
0,0,27,9.0,train,2,8
0,0,27,10.0,train,2,8
0,0,2,3.0,test,1,3
0,0,2,1.0,train,1,3
0,0,2,2.0,train,1,3
0,0,2,4.0,train,1,3
0,0,2,5.0,train,1,3
0,0,2,6.0,train,1,3
0,0,2,7.0,train,1,3
0,0,2,8.0,train,1,3
0,0,2,9.0,train,1,3
0,0,2,10.0,train,1,3
0,0,95,4.0,test,2,1
0,0,95,1.0,train,2,1
0,0,95,2.0,train,2,1
0,0,95,3.0,train,2,1
0,0,95,5.0,train,2,1
0,0,95,6.0,train,2,1
0,0,95,7.0,train,2,1
0,0,95,8.0,train,2,1
0,0,95,9.0,train,2,1
0,0,95,10.0,train,2,1
0,0,69,4.0,test,0,2
0,0,69,1.0,train,0,2
0,0,69,2.0,train,0,2
0,0,69,3.0,train,0,2
0,0,69,5.0,train,0,2
0,0,69,6.0,train,0,2
0,0,69,7.0,train,0,2
0,0,69,8.0,train,0,2
0,0,69,9.0,train,0,2
0,0,69,10.0,train,0,2
0,0,72,4.0,test,2,2
0,0,72,1.0,train,2,2
0,0,72,2.0,train,2,2
0,0,72,3.0,train,2,2
0,0,72,5.0,train,2,2
0,0,72,6.0,train,2,2
0,0,72,7.0,train,2,2
0,0,72,8.0,train,2,2
0,0,72,9.0,train,2,2
