,sub_num,true_planet,galaxy,prt
0,0,0,0,3
1,0,1,0,1
2,0,2,1,3
3,0,3,1,2
4,0,4,1,2
5,0,5,2,6
6,0,6,2,7
7,0,7,2,7
8,0,8,0,3
9,0,9,0,6
10,0,10,0,3
11,0,11,0,1
12,0,20,0,2
13,0,21,0,2
14,0,22,0,2
15,0,23,2,2
16,0,24,2,2
17,0,25,2,2
18,0,26,2,4
19,0,27,2,8
20,0,28,1,6
21,0,29,2,12
22,0,40,1,3
23,0,41,2,11
24,0,42,1,5
25,0,43,1,1
26,0,44,1,2
27,0,45,1,2
28,0,46,2,3
29,0,47,2,2
30,0,48,1,3
31,0,49,1,4
32,0,50,2,3
33,0,51,2,4
34,0,60,0,2
35,0,61,0,2
36,0,62,0,2
37,0,63,2,1
38,0,64,2,2
39,0,65,2,4
40,0,66,2,5
41,0,67,2,4
42,0,68,2,2
43,0,69,0,2
44,0,70,0,1
45,0,71,2,1
46,0,72,2,2
47,0,73,2,1
48,0,74,2,1
49,0,75,2,1
50,0,80,1,1
51,0,81,1,3
52,0,82,1,1
53,0,83,1,1
54,0,84,1,1
55,0,85,1,1
56,0,86,1,1
57,0,87,1,1
58,0,88,1,1
59,0,89,1,1
60,0,90,1,1
61,0,91,1,1
62,0,92,1,1
63,0,93,1,1
64,0,94,1,1
65,0,95,2,1
66,0,96,2,1
67,0,97,2,1
68,1,0,0,3
69,1,1,0,2
70,1,2,1,5
71,1,3,1,4
72,1,4,1,5
73,1,5,2,10
74,1,6,2,7
75,1,7,2,9
76,1,8,0,3
77,1,9,0,2
78,1,10,0,2
79,1,11,0,1
80,1,20,0,2
81,1,21,0,2
82,1,22,0,2
83,1,23,2,7
84,1,24,2,7
85,1,25,2,7
86,1,26,2,8
87,1,27,2,8
88,1,28,1,3
89,1,29,2,8
90,1,30,2,3
91,1,40,1,3
92,1,41,2,8
93,1,42,1,3
94,1,43,1,3
95,1,44,1,3
96,1,45,1,3
97,1,46,2,7
98,1,47,2,8
99,1,48,1,3
100,1,49,1,3
101,1,50,2,6
102,1,51,2,3
103,1,60,0,2
104,1,61,0,2
105,1,62,0,2
106,1,63,2,6
107,1,64,2,6
108,1,65,2,6
109,1,66,2,9
110,1,67,2,7
111,1,68,2,7
112,1,69,0,2
113,1,70,0,2
114,1,71,2,2
115,1,80,1,3
116,1,81,1,3
117,1,82,1,3
118,1,83,1,3
119,1,84,1,3
120,1,85,1,3
121,1,86,1,3
122,1,87,1,3
123,1,88,1,3
124,1,89,1,3
125,1,90,1,3
126,1,91,1,3
127,1,92,1,3
128,1,93,1,3
129,1,94,1,1
130,3,0,0,3
131,3,1,0,4
132,3,2,1,5
133,3,3,1,4
134,3,4,1,4
135,3,5,2,9
136,3,6,2,11
137,3,7,2,11
138,3,8,0,3
139,3,9,0,3
140,3,10,0,1
141,3,20,0,3
142,3,21,0,3
143,3,22,0,3
144,3,23,2,10
145,3,24,2,10
146,3,25,2,9
147,3,26,2,11
148,3,27,2,8
149,3,28,1,4
150,3,29,2,1
151,3,40,1,3
152,3,41,2,7
153,3,42,1,4
154,3,43,1,3
155,3,44,1,3
156,3,45,1,3
157,3,46,2,7
158,3,47,2,10
159,3,48,1,4
160,3,49,1,3
161,3,50,2,8
162,3,51,2,1
163,3,60,0,2
164,3,61,0,2
165,3,62,0,3
166,3,63,2,9
167,3,64,2,7
168,3,65,2,8
169,3,66,2,8
170,3,67,2,9
171,3,68,2,10
172,3,69,0,2
173,3,70,0,1
174,3,80,1,3
175,3,81,1,3
176,3,82,1,3
177,3,83,1,3
178,3,84,1,2
179,3,85,1,3
180,3,86,1,2
181,3,87,1,3
182,3,88,1,2
183,3,89,1,3
184,3,90,1,3
185,3,91,1,3
186,3,92,1,3
187,3,93,1,3
188,3,94,1,1
189,5,0,0,1
190,5,1,0,1
191,5,2,1,1
192,5,3,1,1
193,5,4,1,1
194,5,5,2,1
195,5,6,2,1
196,5,7,2,1
197,5,8,0,2
198,5,9,0,1
199,5,10,0,2
200,5,11,0,1
201,5,12,0,1
202,5,13,2,1
203,5,14,2,1
204,5,15,1,3
205,5,16,2,1
206,5,17,2,1
207,5,20,0,6
208,5,21,0,2
209,5,22,0,1
210,5,23,2,2
211,5,24,2,3
212,5,25,2,5
213,5,26,2,1
214,5,27,2,2
215,5,28,1,1
216,5,29,2,1
217,5,30,2,2
218,5,31,0,1
219,5,32,0,5
220,5,33,0,6
221,5,34,0,1
222,5,40,1,1
223,5,41,2,3
224,5,42,1,1
225,5,43,1,2
226,5,44,1,2
227,5,45,1,2
228,5,46,2,1
229,5,47,2,1
230,5,48,1,1
231,5,49,1,3
