sub_num,block,diff,galaxy,opt_prt,prt,true_planet,n_galaxy
0.0,1,-1,0,2,1,0,1
0.0,1,-1,0,2,1,1,2
0.0,1,1,1,3,4,2,1
0.0,1,-2,1,3,1,3,2
0.0,1,0,1,3,3,4,3
0.0,1,3,2,5,8,5,1
0.0,1,4,2,6,10,6,2
0.0,1,3,2,7,10,7,3
0.0,1,1,0,2,3,8,1
0.0,1,1,0,2,3,9,2
0.0,1,0,0,2,2,10,3
0.0,1,1,0,2,3,11,4
0.0,2,2,0,2,4,20,5
0.0,2,0,0,2,2,21,6
0.0,2,1,0,2,3,22,7
0.0,2,4,2,7,11,23,1
0.0,2,4,2,6,10,24,2
0.0,2,3,2,6,9,25,3
0.0,2,3,2,6,9,26,4
0.0,2,4,2,7,11,27,5
0.0,2,2,1,2,4,28,1
0.0,3,2,1,2,4,40,2
0.0,3,4,2,6,10,41,1
0.0,3,2,1,2,4,42,1
0.0,3,2,1,2,4,43,2
0.0,3,2,1,2,4,44,3
0.0,3,2,1,2,4,45,4
0.0,3,3,2,7,10,46,1
0.0,3,3,2,6,9,47,2
0.0,3,2,1,2,4,48,1
0.0,3,1,1,3,4,49,2
0.0,4,1,0,2,3,60,1
0.0,4,1,0,2,3,61,2
0.0,4,1,0,2,3,62,3
0.0,4,3,2,6,9,63,1
0.0,4,3,2,6,9,64,2
0.0,4,4,2,7,11,65,3
0.0,4,3,2,8,11,66,4
0.0,4,3,2,6,9,67,5
0.0,4,2,2,6,8,68,6
0.0,5,1,1,2,3,80,1
0.0,5,0,1,3,3,81,2
0.0,5,1,1,2,3,82,3
0.0,5,1,1,2,3,83,4
0.0,5,1,1,2,3,84,5
0.0,5,1,1,2,3,85,6
0.0,5,1,1,2,3,86,7
0.0,5,1,1,2,3,87,8
0.0,5,1,1,2,3,88,9
0.0,5,1,1,2,3,89,10
0.0,5,1,1,2,3,90,11
0.0,5,1,1,2,3,91,12
0.0,5,0,1,3,3,92,13
0.0,5,1,1,2,3,93,14
1.0,1,-1,0,2,1,0,1
1.0,1,-1,0,2,1,1,2
1.0,1,1,1,3,4,2,1
1.0,1,2,1,2,4,3,2
1.0,1,2,1,2,4,4,3
1.0,1,3,2,7,10,5,1
1.0,1,3,2,5,8,6,2
1.0,1,4,2,7,11,7,3
1.0,1,1,0,2,3,8,1
