block,diff,entropy,galaxy,gamma_effective,opt_prt,prt,true_planet
1,0,0.0,0,0.8807970779778823,2,2,0
1,0,3.0078150440198397,0,0.801935745515308,2,2,1
1,0,2.980875370019909,1,0.8027901450789708,3,3,2
1,0,2.8215859430699335,1,0.807785219639039,3,3,3
1,0,2.345189705093141,1,0.8221470313200869,3,3,4
1,-2,2.930600646392239,2,0.8043771799462603,6,4,5
1,0,2.345189705093141,2,0.8221470313200869,5,5,6
1,-1,2.1814824304830953,2,0.826884140966735,7,6,7
1,0,2.9584584835241396,0,0.8034989815315364,2,2,8
1,0,2.8964004717151792,0,0.8054512500960718,2,2,9
1,0,2.5926651411651696,0,0.8147940558811014,2,2,10
1,0,2.5541295218338815,0,0.8159542764941886,2,2,11
1,0,2.783634876163344,0,0.8089609864341016,2,2,12
1,-2,1.9192316301183365,2,0.8342639911355187,7,5,13
2,0,4.932677120345162,0,0.7336976247122333,2,2,20
2,0,5.3330173039918645,0,0.7177638613092915,2,2,21
2,0,4.587481887668069,0,0.7469674781920411,2,2,22
2,-1,1.6978473556801772,2,0.8402957879682159,7,6,23
2,0,1.3024421011717315,2,0.8506250163968179,7,7,24
2,-1,1.6978473556801772,2,0.8402957879682159,6,5,25
2,0,0.0,2,0.8807970779778823,6,6,26
2,0,1.3024421011717315,2,0.8506250163968179,5,5,27
2,1,4.04226571880782,1,0.767017604078231,2,3,28
2,-1,0.0,2,0.8807970779778823,8,7,29
2,-1,0.0,2,0.8807970779778823,7,6,30
2,0,5.605214232058319,0,0.7066060710950549,2,2,31
3,1,6.7076050128861935,1,0.6589186336014793,2,3,40
3,0,0.0,2,0.8807970779778823,7,7,41
3,1,6.338088077435274,1,0.675327852587582,2,3,42
3,1,5.886089717565575,1,0.6948265741526587,2,3,43
3,1,5.289755074052383,1,0.7195133570089388,2,3,44
3,1,6.830474633672471,1,0.6533743976114333,2,3,45
3,0,0.0,2,0.8807970779778823,7,7,46
3,-1,0.0,2,0.8807970779778823,6,5,47
3,1,3.616762210492387,1,0.7818785762767366,2,3,48
3,1,5.439349240502931,1,0.7134358598675,2,3,49
3,0,0.0,2,0.8807970779778823,6,6,50
3,-1,1.3024421011717315,2,0.8506250163968179,6,5,51
4,0,8.157009240208836,0,0.5911201991434151,2,2,60
4,0,9.841956734088253,0,0.5079015054357882,2,2,61
4,0,9.570178051268744,0,0.5214778724969017,2,2,62
4,0,0.0,2,0.8807970779778823,6,6,63
4,0,0.0,2,0.8807970779778823,6,6,64
4,0,0.0,2,0.8807970779778823,6,6,65
4,0,0.0,2,0.8807970779778823,7,7,66
4,0,0.0,2,0.8807970779778823,7,7,67
4,0,0.0,2,0.8807970779778823,6,6,68
4,0,10.246250352526742,0,0.48768997050902874,2,2,69
4,1,9.697705256259386,0,0.5151101348139621,2,3,70
4,-1,1.3024421011717315,2,0.8506250163968179,5,4,71
5,1,8.364288276473774,1,0.5810639032712025,2,3,80
5,1,7.922436450335709,1,0.6024089837205986,2,3,81
5,1,7.541667729595544,1,0.6204989276886603,2,3,82
5,1,7.5030467841984665,1,0.622316119400233,2,3,83
5,1,7.15814489451659,1,0.6383872118677175,2,3,84
5,1,5.7995767390751904,1,0.6984830444315674,2,3,85
5,1,8.414669437020114,1,0.5786090753769869,2,3,86
5,1,4.0411031348740005,1,0.7670591526200731,2,3,87
5,1,3.3713408444950383,1,0.7901337531868234,3,4,88
5,1,7.037870155525227,1,0.6439215818077318,2,3,89
5,1,5.947024271691311,1,0.6922363117327095,2,3,90
5,1,7.544343575246587,1,0.620372897933058,2,3,91
5,1,5.157695215896458,1,0.7248126275781165,2,3,92
5,1,7.08117651301778,1,0.6419332023301767,2,3,93
