alpha,diff,galaxy,gamma_base,gamma_coef,sub_num
0,0.1111111111111111,0,5,-20,1
0,0.1375,0,5,-20,2
0,0.07317073170731707,0,5,-20,3
0,0.20987654320987653,0,5,-20,4
0,0.19753086419753085,0,5,-20,5
0,0.13580246913580246,0,5,-20,6
0,0.04938271604938271,0,5,-20,7
0,0.16049382716049382,0,5,-20,8
0,0.024096385542168676,0,5,-20,9
0,0.175,0,5,-20,10
0,0.060240963855421686,0,5,-20,11
0,0.04878048780487805,0,5,-20,12
0,0.1625,0,5,-20,13
0,0.0,0,5,-20,14
0,0.14814814814814814,0,5,-20,15
0,0.0,0,5,-20,16
0,0.2625,0,5,-20,17
0,0.2345679012345679,0,5,-20,18
0,0.12345679012345678,0,5,-20,19
0,0.1875,0,5,-20,20
0,0.1625,0,5,-20,21
0,0.13580246913580246,0,5,-20,22
0,0.13414634146341464,0,5,-20,23
0,0.1125,0,5,-20,24
0,0.08641975308641975,0,5,-20,25
0,0.1875,0,5,-20,26
0,0.20987654320987653,0,5,-20,27
0,0.19753086419753085,0,5,-20,28
0,0.16049382716049382,0,5,-20,29
0,0.225,0,5,-20,30
0,0.12195121951219512,0,5,-20,31
0,0.13580246913580246,0,5,-20,32
0,0.06097560975609756,0,5,-20,33
0,0.07407407407407407,0,5,-20,34
0,0.036585365853658534,0,5,-20,35
0,0.10975609756097561,0,5,-20,36
0,0.03614457831325301,0,5,-20,37
0,0.04819277108433735,0,5,-20,38
0,0.03571428571428571,0,5,-20,39
0,0.14814814814814814,0,5,-20,40
0,0.13580246913580246,0,5,-20,41
0,0.03614457831325301,0,5,-20,42
0,0.023809523809523808,0,5,-20,43
0,0.0,0,5,-20,44
0,0.18518518518518517,0,5,-20,45
0,0.14634146341463414,0,5,-20,46
0,0.12345679012345678,0,5,-20,47
0,0.15,0,5,-20,48
0,0.18518518518518517,0,5,-20,49
0,0.1375,0,5,-20,50
0,0.1875,0,5,-20,51
0,0.25,0,5,-20,52
0,0.2,0,5,-20,53
0,0.2875,0,5,-20,54
0,0.10975609756097561,0,5,-20,55
0,0.075,0,5,-20,56
0,0.2125,0,5,-20,57
0,0.06097560975609756,0,5,-20,58
0,0.13253012048192772,0,5,-20,59
0,0.08536585365853659,0,5,-20,60
0,0.2125,0,5,-20,61
0,0.07228915662650602,0,5,-20,62
0,0.011904761904761904,0,5,-20,63
0,0.047058823529411764,0,5,-20,64
0,0.25,0,5,-20,65
0,0.275,0,5,-20,66
0,0.13580246913580246,0,5,-20,67
0,0.15,0,5,-20,68
0,0.0975609756097561,0,5,-20,69
0,0.1951219512195122,0,5,-20,70
0,0.16049382716049382,0,5,-20,71
0,0.225,0,5,-20,72
0,0.1375,0,5,-20,73
0,0.2,0,5,-20,74
0,0.07317073170731707,0,5,-20,75
0,0.13253012048192772,0,5,-20,76
0,0.1625,0,5,-20,77
0,0.1875,0,5,-20,78
0,0.1728395061728395,0,5,-20,79
0,0.225,0,5,-20,80
0,0.225,0,5,-20,81
0,0.06097560975609756,0,5,-20,82
0,0.1125,0,5,-20,83
0,0.2345679012345679,0,5,-20,84
0,0.125,0,5,-20,85
0,-0.047619047619047616,0,5,-20,86
0,0.06097560975609756,0,5,-20,87
