,sub_num_1,alpha,gamma_base,gamma_coef,sub_num,alphaz,gamma_basez,gamma_coefz
0,0.0,0.107421875,8.98046875,0.91015625,0,-4.522776231450313,2.376775163583838,0.626488032419214
1,1.0,2.021484375,1.24609375,0.23828125,1,-1.3729203015946339,-0.9920476789454789,0.15918948923872223
2,2.0,5.0,4.0,1.0,2,-0.0,-0.0,0.6931471805599453
3,3.0,9.091796875,-0.11328125,-0.05859375,3,2.3036597841238113,-1.6790103260989648,-0.03906746819090949
4,5.0,0.0390625,9.953125,2.078125,5,-5.541263545158426,5.541263545158429,1.7062877384240174
5,8.0,0.0390625,9.953125,2.078125,8,-5.541263545158426,5.541263545158429,1.7062877384240174
6,9.0,9.404296875,1.76171875,0.06640625,9,2.759179547624815,-0.783915768680649,0.04427806601827368
7,10.0,1.728515625,-0.27734375,0.13671875,10,-1.5655509620782253,-1.7860744055934468,0.09120901206011008
8,13.0,0.1171875,1.984375,0.171875,13,-4.43477720005941,-0.6990123000123434,0.11470894777596169
9,15.0,6.396484375,0.49609375,0.48828125,15,0.5738385915947247,-1.336975888405988,0.3284418566388798
10,18.0,3.84765625,1.4921875,0.1015625,18,-0.4693689100876444,-0.8904565283193916,0.06773421807975533
11,19.0,9.345703125,0.33203125,0.05859375,19,2.659110772061987,-1.4220785616101885,0.03906746819090963
12,21.0,1.728515625,-0.27734375,0.13671875,21,-1.5655509620782253,-1.7860744055934468,0.09120901206011008
13,22.0,0.078125,5.96875,1.21875,22,-4.844187086458591,0.6814511407967541,0.8622235106038791
14,23.0,0.732421875,-0.76953125,2.66015625,23,-2.5379206850736176,-2.169325772198164,2.812720823666097
15,25.0,3.037109375,0.77734375,0.08203125,25,-0.8296885082350618,-1.2001681072822719,0.054701135713056945
16,28.0,9.404296875,1.76171875,0.06640625,28,2.759179547624815,-0.783915768680649,0.04427806601827368
17,29.0,0.107421875,8.98046875,0.91015625,29,-4.522776231450313,2.376775163583838,0.626488032419214
18,30.0,4.78515625,0.3671875,-0.0234375,30,-0.08599044785552272,-1.4034726976549752,-0.015625317903080815
19,31.0,9.345703125,0.33203125,0.05859375,31,2.659110772061987,-1.4220785616101885,0.03906746819090963
20,32.0,0.087890625,3.00390625,-0.70703125,32,-4.7254193141396685,-0.3351331001639775,-0.4803839787818313
21,33.0,9.404296875,1.76171875,0.06640625,33,2.759179547624815,-0.783915768680649,0.04427806601827368
22,34.0,0.0390625,9.953125,2.078125,34,-5.541263545158426,5.541263545158429,1.7062877384240174
23,37.0,8.017578125,0.80078125,1.71484375,37,1.397317130410641,-1.1892201658508976,1.2998354703321595
24,39.0,4.267578125,-0.69921875,0.21484375,39,-0.2950916247325063,-2.107205679282634,0.14347478026277394
25,40.0,3.037109375,0.77734375,0.08203125,40,-0.8296885082350618,-1.2001681072822719,0.054701135713056945
26,41.0,0.83984375,1.1640625,0.5234375,41,-2.389402652752717,-1.0269704090095815,0.35256556562539776
27,44.0,3.84765625,1.4921875,0.1015625,44,-0.4693689100876444,-0.8904565283193916,0.06773421807975533
28,45.0,0.05859375,3.9765625,1.7109375,45,-5.133835727882413,-0.007812539736793625,1.295971722826605
29,46.0,8.6328125,-1.484375,1.515625,46,1.8428146400283385,-3.1033629377463563,1.1125497965118916
30,47.0,5.673828125,1.73828125,0.15234375,47,0.2711809868067755,-0.793006700027424,0.10164993626129075
31,48.0,0.107421875,8.98046875,0.91015625,48,-4.522776231450313,2.376775163583838,0.626488032419214
32,50.0,8.73046875,-0.4296875,0.1171875,50,1.928171324717932,-1.8933816627752742,0.07816477284933639
33,53.0,9.47265625,0.7421875,0.3515625,53,2.8883120249331538,-1.216711830103366,0.2354568115475667
34,54.0,9.150390625,-1.87109375,2.41796875,54,2.376775163583838,-4.522776231450313,2.230952114369373
